Id,SalePrice
1461,127722.17640488333
1462,168484.36242860832
1463,195782.00716391543
1464,194949.5864675562
1465,172796.04018586513
1466,171213.93204944645
1467,165472.79605519288
1468,167492.71101989344
1469,184054.46606932767
1470,128246.93689797269
1471,194535.46522723194
1472,88167.68102682092
1473,95676.38825712918
1474,157178.7359285743
1475,116645.11897658021
1476,433608.7566241735
1477,276164.87809047016
1478,305573.33764373267
1479,241756.82476347385
1480,467072.9328483937
1481,334479.6966169207
1482,209802.18214766294
1483,160130.75232119375
1484,163839.8679794875
1485,174592.12005802628
1486,200282.35336379343
1487,370921.26570781093
1488,231127.95136372052
1489,212269.07960852486
1490,239943.41810697317
1491,184418.22880256598
1492,86150.71733972496
1493,196841.36379170598
1494,298906.30959861865
1495,278197.6684337399
1496,247968.56512351046
1497,166949.22214848566
1498,158246.60737759498
1499,158218.505710243
1500,151176.26758347495
1501,180726.6780438739
1502,145475.11446281648
1503,297133.3078930293
1504,223091.57377363203
1505,222685.6283763229
1506,188061.74714042337
1507,246872.47165083155
1508,195880.5571654421
1509,161592.706034725
1510,159153.46692414663
1511,141173.09089690642
1512,163269.63717863517
1513,151286.4695720389
1514,170475.50055976879
1515,202069.15581002083
1516,152731.6249151776
1517,168060.37662408766
1518,130420.37912701804
1519,242276.59504153658
1520,141266.03972184967
1521,138237.3244966917
1522,171471.3185173872
1523,117285.81132222922
1524,118761.87711726644
1525,125047.50073807687
1526,123963.53581281035
1527,99786.68284013201
1528,128020.62112497009
1529,146734.28807191848
1530,173417.0521764949
1531,98960.45385084627
1532,82942.8282656284
1533,147510.5710938621
1534,122230.60030535588
1535,152791.15911957482
1536,106084.39977384516
1537,77480.44405688439
1538,216246.25217484726
1539,195694.46393959565
1540,94168.254654682
1541,144546.44050634536
1542,139614.04683614318
1543,233208.52732618686
1544,81818.16883850086
1545,119066.88029625847
1546,136753.41476934892
1547,142081.7629902993
1548,138757.32424283915
1549,120615.13107091971
1550,144938.087263371
1551,109390.06185646013
1552,141438.50527472555
1553,165882.88681816732
1554,119281.89521142772
1555,175260.67010535617
1556,80433.47890242717
1557,96708.31714145196
1558,96379.30107089657
1559,55620.88481886389
1560,126516.78988285984
1561,138367.25892131048
1562,124557.17857273824
1563,122622.7659202451
1564,149564.45459898777
1565,150873.13376820067
1566,226421.8660233753
1567,73570.89116703533
1568,221969.06954001563
1569,141895.69196894555
1570,132192.6908746286
1571,93874.5043099119
1572,143876.46880701656
1573,268504.11201157107
1574,100516.46796823232
1575,234682.7531672187
1576,250252.05387310157
1577,204790.9508968518
1578,156187.5513149897
1579,145633.7785672108
1580,194304.86368750085
1581,165811.63814759822
1582,128165.50446156407
1583,327829.67592526705
1584,230069.1324266003
1585,141032.80275468156
1586,73646.46661081973
1587,94296.85184540699
1588,160416.92871558815
1589,98048.7989211832
1590,127423.65009613446
1591,87125.86198702408
1592,120149.7044828914
1593,122754.1599243775
1594,140368.4873521702
1595,102025.45310391946
1596,237513.95277545464
1597,197658.73845329118
1598,222102.51015128594
1599,170409.93723609953
